Unnamed: 0,Lobbying,PAC,Super PAC,Dark money,Other outside,Total outside
1990.0,,0.37,,,0.01,0.37
1992.0,,0.39,,,0.02,0.4
1994.0,,0.4,,,0.01,0.4
1996.0,,0.45,,,0.02,0.47
1998.0,1.45,0.52,,,0.01,0.53
2000.0,1.56,0.63,,0.01,0.04,0.68
2002.0,1.83,0.71,,0.0,0.02,0.74
2004.0,2.18,1.3,,0.01,0.18,1.48
2006.0,2.63,1.1,,0.01,0.05,1.16
2008.0,3.31,1.5,,0.1,0.21,1.81
2010.0,3.51,1.2,0.06,0.14,0.09,1.49
2012.0,3.3,1.4,0.61,0.31,0.09,2.41
2014.0,3.25,1.7,0.35,0.18,0.01,2.24
2016.0,3.16,2.2,1.1,0.18,0.11,3.6
2018.0,3.46,3.1,0.82,0.15,0.05,4.12
